NICKstateNAME                   2011/can/toronto2011.tou 20110925
TADI NIG Tunde Adigun           22 1743 20110909
MMCP --- Marcia McPhee          21 1743 20031228
LBIN --- Lois Binnie            38 1740 20100816
RHAY ISR Rael Hayman            38 1738 20090503
WSAE --- Weera Saengsit        152 1737 20100620
BOKO GHA Bob Okoridem           75 1737 20101205
CGUO --- Chia Guo Cong          75 1736 20081130
UAND --- Umogbai Andrew         69 1736 20110909
NFRA MYS Nsidibe Frank          45 1736 20101205
JDE  --- Jose de Abreu         172 1735 20110117
JLAB PHL Jullence Labalan       33 1735 20101211
AEBI NGA Ambaderemo Ebiowei     20 1735 20091009
MCHU --- Mohan Chunkath        430 1734 20110703
BMCD --- Brendan McDonnell      60 1734 20051119
HMAU MYS Helen Maurus           78 1733 20101205
DPRA MYS Diane Pratesi          50 1733 20101210
JWAR --- Jim Warmington          8 1732 19991102
JUBE CAN Jason Ubeika            7 1732 20100716
MMAN --- Maida Manaog          158 1731 20050626
MTAN --- Michael Tang          904 1730 20110626
APLO --- Amnuay Ploysangngam   644 1730 20110626
SSAL --- Salah Salih           321 1730 20110624
RONA --- Robbie Onate          282 1730 20090920
OMAG --- Onani Magwanga        115 1730 20110423
BKIN --- Borom Kinthong         80 1730 20080629
TSUP --- Tanasak Supaphibunk   156 1729 20110626
SNAN USA Sandy Nang             86 1728 20110925
JSEK USA James Sekyi            24 1728 20081116
DTAY NIG Dayo Tayo              22 1728 20110909
ACHU --- Albert Chune           21 1728 19971127
MZUC --- Maria Zucco             6 1728 19991031
IBON --- Irland Bonzon          18 1727 19970526
SGUP --- Sanjoy Gupta          326 1726 20110117
CPET --- Chatchawin Petchlert  161 1726 20060702
GSAN --- Gbade Sanda            24 1726 20000423
SJAM NIR Sarah-Jane Jamison     13 1726 20110123
EMUE --- Edie Mueller          268 1725 20101205
RTAL --- Rogelio Talosig       163 1725 20100816
NFIN --- Nicole Findlay         14 1725 19991102
PTHO GBR Peter Thomas          188 1724 20110123
DWET --- De Wet Du Preez        24 1724 19980412
FURE --- Frances Ure            12 1724 20051030
GOWE GBR Gwynfor Owen           12 1724 20081101
DDEL --- David Delicata        269 1723 20110515
RJUD --- Rodney Judd            56 1723 20091129
AGOL --- Andrew Golding        205 1722 20101205
AHAM --- Andrew Hamblin         23 1722 19961125
SSIM --- Sandie Simonis         67 1721 20101010
RWEB GBR Ronan Webb             76 1720 20110123
FTHE --- Francis Theuri         72 1720 20081010
SBUC GBR Siobhan Buckley        13 1720 20080210
RSUN --- Ramaraj Sundraraj     131 1719 20101205
ARIV --- Ashby Rivera           26 1718 20020707
SLOB --- Selwyn Lobo           418 1717 20110624
ISUN NGA Ishaya Sunny           43 1716 20110909
BABD --- Banda Abdallah         24 1716 20000423
PFIE --- Pam Field              24 1716 19980412
NO'R --- Nuala O'Rourke        178 1715 20100124
KKUM --- Krishna Kumar          50 1714 20000528
SAHM --- Shaikh Ahmed          175 1713 20110117
RMAC --- Ross Mackenzie         55 1713 20110103
DSIM --- Daniel Simonis         32 1713 20060930
JLOR --- Jocelyn Lor           825 1710 20110626
AABR --- Arvind Abraham        221 1710 20060609
GHAI GBR Graham Haigh           85 1710 20110515
HEMM NGA Henda Emmanuel         20 1710 20091009
PSEE --- Prashanth Seetharam   117 1709 20110717
ASAP --- Akosa Sapong           24 1709 20000423
ASIN --- Alan Sinclair          24 1709 20011216
MMEN --- Mohammed Mensah        24 1709 20060924
THAR --- Trevor Harrison        18 1709 19951026
ISID --- Irfan Siddiqui        282 1708 20110624
KNGO --- Kenrick Ngo            55 1708 20000705
BMAN --- Butch Maniego          36 1708 19980920
PINT THA Piengkamol Intarasuw   27 1708 20090628
SDIC USA Sam Dick-Onuoha        24 1708 20081116
DHOS --- Debbe Hossy            92 1707 20041003
PSEI --- Pearl Seitz            24 1707 19980412
KACH --- Kojo Acheampong        78 1706 20101024
GLAW --- Glenys Lawrie          24 1706 20001126
VBOY MLT Vincent Boyle         165 1705 20110515
SBOO --- Surachaste Boonya     109 1705 20041219
EKIN BHR Eric Kinderman        100 1705 20110717
TWIL GBR Tom Wilson             52 1705 20110103
