NICKstateNAME                   2009/can/toron092.tou 20090913
FTHE --- Francis Theuri         72 1720 20081010
SBUC GBR Siobhan Buckley        13 1720 20080210
JDE  --- Jose de Abreu         122 1719 20090118
NGRE --- Neil Green             36 1718 20061201
ARIV --- Ashby Rivera           26 1718 20020707
QSIM --- Quek Sim Ho           164 1716 20041219
BABD --- Banda Abdallah         24 1716 20000423
PFIE --- Pam Field              24 1716 19980412
JLOR --- Jocelyn Lor           610 1715 20090628
KKUM --- Krishna Kumar          50 1714 20000528
DSIM --- Daniel Simonis         32 1713 20060930
WKAN --- William Kang          124 1712 20090619
FMAG --- Fred Magu              96 1711 20081010
AABR --- Arvind Abraham        221 1710 20060609
SGOL --- Stu Goldman            91 1710 20090525
BVIO MLT Bob Violett            58 1710 20090717
ABRA --- Andrew Bradley         48 1710 20041126
ASAP --- Akosa Sapong           24 1709 20000423
ASIN --- Alan Sinclair          24 1709 20011216
MMEN --- Mohammed Mensah        24 1709 20060924
THAR --- Trevor Harrison        18 1709 19951026
KNGO --- Kenrick Ngo            55 1708 20000705
BMAN --- Butch Maniego          36 1708 19980920
PINT THA Piengkamol Intarasuw   27 1708 20090628
SDIC USA Sam Dick-Onuoha        24 1708 20081116
OAJA GBR Olakunle Ajayi         19 1708 20080910
DHOS --- Debbe Hossy            92 1707 20041003
PSEI --- Pearl Seitz            24 1707 19980412
DKAN --- David Kangethe        114 1706 20081010
GLAW --- Glenys Lawrie          24 1706 20001126
SBOO --- Surachaste Boonya     109 1705 20041219
RSUN --- Ramaraj Sundraraj      86 1705 20081209
FOLO --- Fidelis Olotu          56 1705 20081005
MRAN --- Mario Ranasuriya      127 1704 20030803
JMAN --- Joash Manyasa         114 1704 20081010
FANT --- Ferdy Anthonius       161 1703 20081211
JOMO --- Jack Omondi           113 1703 20081010
MFIL --- Maricris Filio         18 1703 19970526
PSHA IND Puneet Sharma          82 1702 20090525
NOMA --- Nadeem Omar            18 1702 19980920
MSUL --- Mohammed Sulaiman      35 1701 20040109
MPAN GBR Mihai Pantis           55 1700 20080504
IADD --- Isaac Addo             24 1700 20000423
DDEL --- David Delicata        137 1699 20090628
EWAL MLT Evelyn Wallace         18 1699 20080504
SKYA --- Sue Kyatt              64 1698 20021118
DASS --- Dixon Assesa          158 1697 20080405
BGRO GBR Barry Grossman         55 1697 20081026
MMAN --- Mensah Mantey          24 1697 20000423
GRIC --- Geria Richard         112 1695 20081010
OMAG --- Onani Magwanga         90 1695 20050327
TWIL GBR Tom Wilson             34 1695 20090406
GHAL --- Glennis Hale          193 1692 20081130
MGOH --- Marcus Goh             62 1692 20071130
PRIC GBR Paul Richards UK       25 1692 20080505
MRIV --- Marcelo Rivera         18 1692 19970526
AAZI --- Azmil Aziz            119 1691 20070625
TLIE --- Thong Liew Kee         73 1691 20010505
LGUA --- Lee Guan Hui           42 1691 20071204
EMUE --- Edie Mueller          129 1690 20081130
SKIT --- Suwit Kitkarn          28 1690 20000705
RWEB GBR Ronan Webb             13 1690 20080210
KISS --- Kittikorn Issar        52 1689 20020707
DNG  --- David  Ng              23 1689 19990627
ACLI --- Audree Clifton          8 1689 19991102
ABUD --- Anand Buddhdev         64 1688 20071111
SDAV --- Sheryl Davidson        61 1688 19991102
WJIR MYS Wanchana Jirapitikul   22 1688 20081209
DWAR --- Dianne Ward           446 1687 20090628
PKAL --- Paul Kalumba          120 1687 20071111
AAJA --- Ademola Ajayi          61 1687 20080210
LONG --- Leroy Ong              40 1687 20070824
EJAR --- Elisabeth Jardine      16 1687 20030630
JNAR --- Jagan Narayanan        97 1686 20081130
ARUI --- Ador Ruiz              36 1686 19980920
BUFE NGA Ben Ufeli              35 1686 20090118
MTAN --- Michael Tang          656 1685 20090628
LWON --- Leonard Wong          102 1685 20010505
JCOR GBR James Corry            13 1685 20080210
JMUH --- Joe Muhd               57 1684 20000521
JMCG --- Jean McGiffen          27 1684 20000528
WKHA IND Waseem Khatri          24 1684 20080113
SMOR --- Sandra Morgan          54 1683 20050626
TAYO --- Tolani Ayo-Awojobi     73 1682 20021020
NO'R --- Nuala O'Rourke        165 1681 20090503
BKOY --- Bernard Koyyoko        66 1681 20081010
DGOR --- Denise Gordon          49 1681 20020707
YASA --- Yaw Asante             24 1681 20000423
NCHI --- Nattawuth Chinrung     44 1680 20071204
VKIN --- Venayori Kinga         38 1680 20081005
PNAT --- Piyaphong Natesuwan    28 1679 20070625
HMOR --- Henry Morara           24 1679 20021020
WJIT --- Wissavich Jitthav      28 1678 20000705
AMAL --- Antonio Malonzo       376 1677 20090628
TTAN --- Thomas Tan             37 1677 20041219
SGIL --- Simon Gillam           32 1677 20090503
SCHE --- Santi Cherdchaid       23 1676 19990627
ASUP MYS Akaradech Suppapitta   22 1675 20081209
SKHA --- Suhaimi Khalil         75 1673 20081130
TCHU --- Thanawat Chumai        26 1673 20010701
TTIV --- Thavachai Tivava      190 1672 20080629
BHUT USA Bill Huttel            38 1672 20081116
PPIT --- Pornthep Pithachok     12 1672 20000705
DSAN --- Dan Sandu             155 1670 20090503
