NICKstateNAME                   2010/isr/israel10.tou 20101010
MBRO --- Maurice Brown          34 1757 20080504
CDAV GBR Christo Davison        13 1757 20080210
ATAN --- Alex Tan              389 1755 20100611
KCHO --- Kong Chock Heng       309 1755 20090619
KMER USA Karen Merrill          16 1755 20100320
DDEL --- David Delicata        213 1754 20100518
RFIN --- Ros Finn               24 1754 19980412
AGBO --- Alex Gboye Balogun    191 1753 20100518
TKUK --- Thanapong Kukiet      172 1752 20100620
NWAG --- Njihia Wagachiru       24 1752 20021020
CWOR --- Charae Worapotpisut   318 1751 20100620
DLEB --- Denise Lebron          24 1751 19980412
PTHO GBR Peter Thomas          110 1749 20100124
JIDA MYS Jason Idalski          39 1749 20100711
NESS NGA Nduonyi Essang         34 1749 20091009
MREC --- Mario Recedes          24 1749 20031023
NGIL --- Neville Giloi          24 1749 19980412
JSNG --- Joshua Sng             40 1747 20061201
LCAP --- Leo Capuno            125 1746 20090606
KPOK --- Kwame Poku             24 1746 20011216
NPRA --- Nakul Prabhu          192 1745 20100827
ACLO --- Aaron Clottey          24 1745 20011216
RSHA --- Rocky Sharma            8 1745 20061128
FWAC --- Francis Wachira       186 1744 20100606
GLOC --- Graeme Lock Lee       113 1744 20100816
ASUM MYS Abdul Suma             45 1744 20091204
ISID --- Irfan Siddiqui        240 1743 20100115
WJIR MYS Wanchana Jirapitikul  106 1743 20091210
MMCP --- Marcia McPhee          21 1743 20031228
LBIN --- Lois Binnie            38 1740 20100816
BAMU --- Benard Amuke          114 1739 20081010
PSOD --- Paul Sodje             58 1739 20091009
KACH --- Kojo Acheampong        48 1739 20060924
BWIT --- Benjamin Withers       41 1739 20050703
RHAY ISR Rael Hayman            38 1738 20090503
WSAE --- Weera Saengsit        152 1737 20100620
MCHU --- Mohan Chunkath        333 1736 20100115
CDOD --- Carmel Dodd           229 1736 20091204
MMIR --- Mario Miranda         110 1736 20030629
CGUO --- Chia Guo Cong          75 1736 20081130
PKHO MYS Preedee Khongthanara  133 1735 20091210
AEBI NGA Ambaderemo Ebiowei     20 1735 20091009
BMCD --- Brendan McDonnell      60 1734 20051119
SSAL --- Salah Salih           305 1733 20090606
SLOB --- Selwyn Lobo           402 1732 20100827
JWAR --- Jim Warmington          8 1732 19991102
JUBE CAN Jason Ubeika            7 1732 20100716
MMAN --- Maida Manaog          158 1731 20050626
BIDA NGA Bright Idahosa         14 1731 20081005
RONA --- Robbie Onate          282 1730 20090920
BKIN --- Borom Kinthong         80 1730 20080629
FANT --- Ferdy Anthonius       230 1729 20091204
BKPE --- Bennet Kpentey        120 1729 20060924
JSEK USA James Sekyi            24 1728 20081116
ACHU --- Albert Chune           21 1728 19971127
MZUC --- Maria Zucco             6 1728 19991031
MDAL PHL Melvin Dalangin        78 1727 20091204
IBON --- Irland Bonzon          18 1727 19970526
DSAN --- Dan Sandu             208 1726 20100518
CPET --- Chatchawin Petchlert  161 1726 20060702
GSAN --- Gbade Sanda            24 1726 20000423
RTAL --- Rogelio Talosig       163 1725 20100816
NFIN --- Nicole Findlay         14 1725 19991102
UBAS MYS Umoh Bassey            25 1724 20091208
DWET --- De Wet Du Preez        24 1724 19980412
FURE --- Frances Ure            12 1724 20051030
GOWE GBR Gwynfor Owen           12 1724 20081101
SGUP --- Sanjoy Gupta          255 1723 20100827
ABYR GBR Amy Byrne              92 1723 20100518
RJUD --- Rodney Judd            56 1723 20091129
AHAM --- Andrew Hamblin         23 1722 19961125
ITAY --- Ian Tay Zhi Xian      211 1721 20091204
MTEO --- Martin Teo            165 1721 20100611
VBOY MLT Vincent Boyle         109 1721 20100518
SSIM --- Sandie Simonis         67 1721 20101010
FTHE --- Francis Theuri         72 1720 20081010
SBUC GBR Siobhan Buckley        13 1720 20080210
ARIV --- Ashby Rivera           26 1718 20020707
QSIM --- Quek Sim Ho           164 1716 20041219
BABD --- Banda Abdallah         24 1716 20000423
PFIE --- Pam Field              24 1716 19980412
CABO --- Chris Abordo          242 1715 20091129
NO'R --- Nuala O'Rourke        178 1715 20100124
KKUM --- Krishna Kumar          50 1714 20000528
DSIM --- Daniel Simonis         32 1713 20060930
JLOR --- Jocelyn Lor           733 1712 20100611
CMUS GBR Cecil Muscat          284 1711 20101010
FMAG --- Fred Magu              96 1711 20081010
EMUE --- Edie Mueller          223 1710 20100816
AABR --- Arvind Abraham        221 1710 20060609
HEMM NGA Henda Emmanuel         20 1710 20091009
CKEE --- Chris Keeley           75 1709 20100518
ASAP --- Akosa Sapong           24 1709 20000423
ASIN --- Alan Sinclair          24 1709 20011216
MMEN --- Mohammed Mensah        24 1709 20060924
THAR --- Trevor Harrison        18 1709 19951026
KNGO --- Kenrick Ngo            55 1708 20000705
BMAN --- Butch Maniego          36 1708 19980920
PINT THA Piengkamol Intarasuw   27 1708 20090628
SDIC USA Sam Dick-Onuoha        24 1708 20081116
DHOS --- Debbe Hossy            92 1707 20041003
PSEI --- Pearl Seitz            24 1707 19980412
GLAW --- Glenys Lawrie          24 1706 20001126
JLAM USA Jim Lamerand           18 1706 20100215
SBOO --- Surachaste Boonya     109 1705 20041219
RSUN --- Ramaraj Sundraraj      86 1705 20081209
ORIV --- Oscar Rivera          237 1704 20091208
MRAN --- Mario Ranasuriya      127 1704 20030803
PZEI USA Pete Zeigler           15 1704 20100711
JOMO --- Jack Omondi           113 1703 20081010
COKO MYS Chelly Okoko           24 1703 20091208
MFIL --- Maricris Filio         18 1703 19970526
DWAR --- Dianne Ward           563 1702 20100620
APLO --- Amnuay Ploysangngam   561 1702 20100620
NOMA --- Nadeem Omar            18 1702 19980920
PSHA IND Puneet Sharma         145 1701 20100816
MSUL --- Mohammed Sulaiman      35 1701 20040109
IADD --- Isaac Addo             24 1700 20000423
EMAR KEN Ezekiel Markwei        89 1699 20091204
PRUS GBR Pauline Russell        26 1699 20100124
JDEL --- Jojo Delia            197 1698 20101010
SKYA --- Sue Kyatt              64 1698 20021118
DASS --- Dixon Assesa          158 1697 20080405
MMAN --- Mensah Mantey          24 1697 20000423
OMAG --- Onani Magwanga         90 1695 20050327
RWEB GBR Ronan Webb             63 1695 20100108
TWIL GBR Tom Wilson             34 1695 20090406
RHAM USA Ruth Hamilton          37 1694 20101003
AMCD MYS Abigail McDonald       24 1694 20091129
JNAR --- Jagan Narayanan       168 1693 20100620
GHAL --- Glennis Hale          193 1692 20081130
MPAN GBR Mihai Pantis          132 1692 20100518
MGOH --- Marcus Goh             62 1692 20071130
PRIC GBR Paul Richards UK       25 1692 20080505
MRIV --- Marcelo Rivera         18 1692 19970526
PSID USA Paul Sidorsky          16 1692 20100320
AAZI --- Azmil Aziz            119 1691 20070625
