NICKstateNAME                   2011/ger/germopen.tou 20110313
BMAN --- Butch Maniego          36 1708 19980920
PINT THA Piengkamol Intarasuw   27 1708 20090628
SDIC USA Sam Dick-Onuoha        24 1708 20081116
DHOS --- Debbe Hossy            92 1707 20041003
PSEI --- Pearl Seitz            24 1707 19980412
KACH --- Kojo Acheampong        78 1706 20101024
GLAW --- Glenys Lawrie          24 1706 20001126
APLO --- Amnuay Ploysangngam   619 1705 20101205
SBOO --- Surachaste Boonya     109 1705 20041219
TWIL GBR Tom Wilson             52 1705 20110103
MRAN --- Mario Ranasuriya      127 1704 20030803
PZEI USA Pete Zeigler           15 1704 20100711
ABUD --- Anand Buddhdev        225 1703 20110313
JOMO --- Jack Omondi           113 1703 20081010
OVIC KEN Owokere Victor         99 1703 20101024
MFIL --- Maricris Filio         18 1703 19970526
NOMA --- Nadeem Omar            18 1702 19980920
KJEN --- Ker Jen Ho            132 1701 20101210
ASUM MYS Abdul Suma             70 1701 20101210
MSUL --- Mohammed Sulaiman      35 1701 20040109
DBUA --- Daniel Buadu Akrong    54 1700 20101024
IADD --- Isaac Addo             24 1700 20000423
PRUS GBR Pauline Russell        26 1699 20100124
JDEL --- Jojo Delia            197 1698 20101010
SKYA --- Sue Kyatt              64 1698 20021118
DASS --- Dixon Assesa          158 1697 20080405
MMIR --- Mario Miranda         118 1697 20101211
CMCC GBR Celine McCart          39 1696 20110123
OMAG --- Onani Magwanga         90 1695 20050327
JAYU MYS Jowar Ayuno            78 1695 20101211
