NICKstateNAME                   2009/gbr/ukopen09.tou 20090109
OMAG --- Onani Magwanga         90 1695 20050327
NO'R --- Nuala O'Rourke        145 1694 20090109
JDE  --- Jose de Abreu          98 1694 20080113
GHAL --- Glennis Hale          193 1692 20081130
MGOH --- Marcus Goh             62 1692 20071130
PRIC GBR Paul Richards UK       25 1692 20080505
MRIV --- Marcelo Rivera         18 1692 19970526
AAZI --- Azmil Aziz            119 1691 20070625
TLIE --- Thong Liew Kee         73 1691 20010505
LGUA --- Lee Guan Hui           42 1691 20071204
ICHI --- Ishtiaq Chishty       294 1690 20060702
EMUE --- Edie Mueller          129 1690 20081130
SKIT --- Suwit Kitkarn          28 1690 20000705
RWEB GBR Ronan Webb             13 1690 20080210
KISS --- Kittikorn Issar        52 1689 20020707
DNG  --- David  Ng              23 1689 19990627
ACLI --- Audree Clifton          8 1689 19991102
ABUD --- Anand Buddhdev         64 1688 20071111
SDAV --- Sheryl Davidson        61 1688 19991102
WJIR MYS Wanchana Jirapitikul   22 1688 20081209
PKAL --- Paul Kalumba          120 1687 20071111
VIKA --- Victor Ikawa           87 1687 20081116
AAJA --- Ademola Ajayi          61 1687 20080210
LONG --- Leroy Ong              40 1687 20070824
EJAR --- Elisabeth Jardine      16 1687 20030630
JNAR --- Jagan Narayanan        97 1686 20081130
ARUI --- Ador Ruiz              36 1686 19980920
LWON --- Leonard Wong          102 1685 20010505
JCOR GBR James Corry            13 1685 20080210
JMUH --- Joe Muhd               57 1684 20000521
JMCG --- Jean McGiffen          27 1684 20000528
WKHA IND Waseem Khatri          24 1684 20080113
BO'B GBR Breda O'Brien          13 1684 20080210
SMOR --- Sandra Morgan          54 1683 20050626
PKHO MYS Preedee Khongthanara   22 1683 20081209
BVIO MLT Bob Violett            18 1683 20080504
TAYO --- Tolani Ayo-Awojobi     73 1682 20021020
BKOY --- Bernard Koyyoko        66 1681 20081010
DGOR --- Denise Gordon          49 1681 20020707
YASA --- Yaw Asante             24 1681 20000423
NCHI --- Nattawuth Chinrung     44 1680 20071204
VKIN --- Venayori Kinga         38 1680 20081005
PNAT --- Piyaphong Natesuwan    28 1679 20070625
HMOR --- Henry Morara           24 1679 20021020
WJIT --- Wissavich Jitthav      28 1678 20000705
TTAN --- Thomas Tan             37 1677 20041219
TWIC --- Thepparit Wichaya     107 1676 20080629
SCHE --- Santi Cherdchaid       23 1676 19990627
ASUP MYS Akaradech Suppapitta   22 1675 20081209
SKHA --- Suhaimi Khalil         75 1673 20081130
TCHU --- Thanawat Chumai        26 1673 20010701
TTIV --- Thavachai Tivava      190 1672 20080629
BHUT USA Bill Huttel            38 1672 20081116
PPIT --- Pornthep Pithachok     12 1672 20000705
MJAC THA Mpakaboari Jack       115 1671 20081211
MLAP MYS Michael Laput          33 1670 20081130
JOMO TZA Jared Omolo            24 1670 20080405
GMOO --- Gerry Moore            24 1669 19980412
YLOB --- Yvonne Lobo            21 1666 19971127
TTER --- Thien Termpaisit      229 1665 20080629
