NICKstateNAME                   2008/nga/2akpabio.tou 20081005
BKPE --- Bennet Kpentey        120 1729 20060924
NDEC --- Noppadol Dechat        81 1728 20080629
ACHU --- Albert Chune           21 1728 19971127
VBOY MLT Vincent Boyle          18 1728 20080504
MZUC --- Maria Zucco             6 1728 19991031
CKHO --- Charnrit Khongthan     95 1727 20080629
IBON --- Irland Bonzon          18 1727 19970526
MTAN --- Michael Tang          586 1726 20080629
CPET --- Chatchawin Petchlert  161 1726 20060702
EMEG --- Eileen Meghen          64 1726 20080210
GSAN --- Gbade Sanda            24 1726 20000423
AOYE TZA Allan Oyende           24 1726 20080405
NFIN --- Nicole Findlay         14 1725 19991102
MAKO --- Michael Akonor         48 1724 20060924
DWET --- De Wet Du Preez        24 1724 19980412
FURE --- Frances Ure            12 1724 20051030
AHAM --- Andrew Hamblin         23 1722 19961125
CKEE --- Chris Keeley           34 1721 20080504
SBUC GBR Siobhan Buckley        13 1720 20080210
SYEN --- Shim Yen Nee          211 1718 20080629
NGRE --- Neil Green             36 1718 20061201
ARIV --- Ashby Rivera           26 1718 20020707
QSIM --- Quek Sim Ho           164 1716 20041219
BABD --- Banda Abdallah         24 1716 20000423
PFIE --- Pam Field              24 1716 19980412
DSHA --- Dylan Sharma          260 1715 20071130
RGON --- Ricardo Gonzalez      368 1714 20080606
AMET --- Arun Methaseth        365 1714 20080629
JLAM --- John Lam              288 1714 20080622
KKUM --- Krishna Kumar          50 1714 20000528
DSIM --- Daniel Simonis         32 1713 20060930
AABR --- Arvind Abraham        221 1710 20060609
ABRA --- Andrew Bradley         48 1710 20041126
ASAP --- Akosa Sapong           24 1709 20000423
ASIN --- Alan Sinclair          24 1709 20011216
MMEN --- Mohammed Mensah        24 1709 20060924
THAR --- Trevor Harrison        18 1709 19951026
VIKA --- Victor Ikawa           63 1708 20080606
KNGO --- Kenrick Ngo            55 1708 20000705
BMAN --- Butch Maniego          36 1708 19980920
OAJA GBR Olakunle Ajayi         19 1708 20080910
DHOS --- Debbe Hossy            92 1707 20041003
